Timestamp,X-Axis,Y-Axis,Z-Axis
0,9735,6099,-28
10,1054,1750,469
20,1777,2646,89
30,6239,919,792
40,5916,3472,256
50,6160,-641,762
60,10726,547,-742
70,2750,2587,40
80,1168,700,688
90,1514,577,662
100,8196,2555,-851
110,3525,3560,-869
120,4125,3603,-416
130,3690,2652,203
140,6252,3938,862
150,6718,3176,-632
160,-465,192,-239
170,4236,3335,866
180,345,1846,-403
190,7913,-571,140
200,1274,918,-11
210,7594,-280,639
220,5387,3897,-485
230,7991,1976,875
240,5030,3234,315
250,662,1856,-141
260,1843,663,464
270,-311,-552,9
280,2487,3455,-259
290,8501,3430,291
300,3616,292,-880
310,7402,2316,-780
320,7489,122,215
330,6495,1446,-761
340,2856,218,671
350,1642,3972,-828
360,1003,383,825
370,1302,499,390
380,2106,2562,-255
390,4541,-340,-234
400,578,-780,288
410,2883,-894,865
420,6115,1585,119
430,564,1922,-826
440,9761,1253,-366
450,5687,3256,653
460,-866,1317,-586
470,2075,658,-900
480,1918,3344,408
490,4000,2222,212
500,2497,2425,-583
510,2067,2535,-536
520,-1000,3890,-480
530,-598,2506,-993
540,10277,1893,841
550,5840,2148,113
560,8319,242,371
570,7353,3281,-451
580,-618,130,-69
590,4117,-86,603
600,10340,1925,147
610,517,252,647
620,635,-236,651
630,6895,1708,-361
640,4707,3241,-600
650,7253,2384,568
660,-185,-487,-601
670,6064,1369,175
680,6573,790,-228
690,7487,2442,-809
700,-928,-478,-931
710,430,2705,-894
720,2778,458,453
730,10079,3450,663
740,-177,2983,-295
750,3740,1763,190
760,3629,2909,-750
770,3766,421,993
780,4937,88,873
790,4615,-891,-708
800,2281,-203,681
810,3782,2689,-383
820,8540,2049,-845
830,5747,3437,-48
840,9333,274,512
850,2987,-356,958
860,8957,1351,665
870,7863,2039,705
880,11,-348,-534
890,6268,237,-98
900,6641,3456,442
910,2614,3127,118
920,10790,3900,-476
930,-542,2703,-22
940,3226,1496,316
950,1408,1161,-846
960,5901,3801,-768
970,8024,-949,-434
980,8804,-47,184
990,5577,1238,834
1000,2106,2365,656
1010,8613,612,772
1020,2448,2371,-26
1030,9065,2729,468
1040,207,295,742
1050,3766,-808,113
1060,2656,1317,-294
1070,9620,1418,-630
1080,731,1682,138
1090,4927,189,-480
1100,4419,10,159
1110,1082,874,-512
1120,10408,614,-195
1130,8788,3225,-274
1140,3266,2776,-158
1150,9058,-905,-773
1160,5832,3733,622
1170,1027,-938,519
1180,7468,957,-575
1190,-989,-631,-701
1200,6433,3449,762
1210,6965,3692,-33
1220,286,-237,-395
1230,2468,942,258
1240,-235,2101,985
1250,5797,3481,611
1260,4982,2678,-115
1270,7445,3883,397
1280,8822,1514,-315
1290,2528,3398,-815
1300,6329,-468,252
1310,3085,-93,-797
1320,3242,-773,-611
1330,9214,3211,-426
1340,8259,845,132
1350,5701,-836,740
1360,4154,746,-549
1370,1632,3845,791
1380,5838,3563,308
1390,7605,-969,932
1400,4225,-99,-414
1410,6347,1374,290
1420,-154,171,-576
1430,-562,3415,-431
1440,-910,-844,-261
1450,7716,3709,-826
1460,-340,-395,127
1470,3704,206,241
1480,10218,-620,-447
1490,-852,-233,-224
1500,7048,960,794
1510,9453,-789,719
1520,6296,1449,-309
1530,5726,2702,776
1540,4564,3882,-893
1550,-810,-513,-249
1560,2889,1232,761
1570,4647,2520,-293
1580,-698,3760,-412
1590,3653,2130,337
1600,2840,3923,-831
1610,741,3770,970
1620,10013,1953,601
1630,3091,2441,-405
1640,1781,-288,540
1650,1700,1749,564
1660,1263,2400,143
1670,9883,1026,-854
1680,6452,1660,380
1690,10389,-919,416
1700,3410,1337,-835
1710,3926,946,883
1720,5432,-355,769
1730,5072,1105,30
1740,9449,147,211
1750,8088,-682,-875
1760,7969,-618,-357
1770,4588,3719,-961
1780,4753,2176,-333
1790,10220,1736,969
1800,1907,3775,433
1810,2845,777,-351
1820,5515,-671,300
1830,1036,2292,893
1840,7785,2995,419
1850,7693,-678,-192
1860,4076,-251,878
1870,9732,859,-418
1880,3482,-324,204
1890,7294,1373,-279
1900,10786,1212,-950
1910,7432,1047,116
1920,9097,1404,-100
1930,7200,975,305
1940,6601,24,312
1950,2931,3175,882
1960,9522,-858,260
1970,10190,1052,-617
1980,-273,1588,766
1990,66,2452,-145
2000,6707,717,530
2010,5005,1804,-539
2020,3299,3663,-449
2030,6416,12,-513
2040,1368,1139,-786
2050,3560,-714,765
2060,4197,3306,994
2070,-109,1287,853
2080,3691,853,-282
2090,2150,2525,385
2100,3465,-768,963
2110,5975,1856,-355
2120,2011,461,-25
2130,-978,-46,195
2140,2349,3358,703
2150,10361,3925,-843
2160,10700,-896,-452
2170,-804,2002,-241
2180,6076,941,-772
2190,8807,889,61
2200,255,569,555
2210,7364,-632,-522
2220,1539,2532,358
2230,9399,3129,752
2240,5282,-601,-707
2250,4391,-19,861
2260,-44,1729,-223
2270,4774,2413,193
2280,3354,3746,-947
2290,8371,-746,198
2300,4184,145,-773
2310,5459,-71,-631
2320,2607,660,-828
2330,3009,-226,845
2340,6554,-795,-256
2350,6970,581,-736
2360,3513,2126,340
2370,3209,1901,582
2380,6096,-960,-829
2390,10453,-624,394
2400,4521,2657,131
2410,6473,793,-811
2420,3373,231,762
2430,5936,771,-476
2440,7802,1662,10
2450,3990,2939,462
2460,8836,833,923
2470,5708,-459,-208
